,0,1,2,3,4,5,6
0,191963536,1,1681342318599536,1681342319599543,60,17.3099,26
1,194054765,1,1681340526599632,1681340526599632,60,16.7038,44
2,194126682,1,1681340525599632,1681340530099630,60,17.3608,44
3,194157774,1,1681340430599694,1681340435099676,60,17.9654,0
4,194213298,1,1681340713599756,1681340714099752,60,16.7554,0
5,194248654,1,1681340422599986,1681340431599761,60,17.8057,28
6,194299601,1,1681340436599701,1681340482099480,60,18.2223,44
7,194370232,1,1681340465599770,1681340469099773,60,18.7364,26
8,194388180,1,1681340747599476,1681340747599476,60,16.7409,42
9,194449709,1,1681340925099815,1681340927099614,60,17.85,26
10,194569186,1,1681340696099668,1681340704099786,60,17.911,16
11,194652309,1,1681340620599911,1681340624599039,60,25.2572,22
12,194682672,1,1681340624099663,1681340624099663,60,17.0392,27
13,194689416,1,1681340626099694,1681340699599897,60,21.1078,20
14,194695727,1,1681340636099596,1681340639099670,60,17.2939,27
15,194739759,1,1681340790599570,1681340792099774,60,16.8879,26
16,194749501,1,1681342206099699,1681342209599747,60,17.4289,0
17,194772347,1,1681340697599746,1681340704099775,60,17.3317,43
18,194790443,1,1681340677599653,1681340794599577,60,18.4105,36
19,194817622,1,1681340784599932,1681340793599672,60,18.6106,28
20,194836257,1,1681340706099915,1681340707599880,60,17.9956,29
21,194892757,1,1681340925599658,1681340926099642,60,16.8867,26
22,194913058,1,1681340744599750,1681340841599694,60,17.7306,0
23,194933352,6,1681340748099730,1681340748099730,60,18.7055,41
24,194954449,1,1681340780099584,1681340781599781,60,17.515,26
25,194954768,1,1681340779099610,1681340781099773,60,17.6346,26
26,194954903,1,1681340827099725,1681340833099671,60,17.3594,31
27,194961633,1,1681340761599745,1681340762099740,60,17.837,41
28,194981715,1,1681340844099693,1681340846599691,60,16.9328,30
29,194990606,1,1681340784599827,1681340795099741,60,18.9127,27
30,194998735,1,1681340795099772,1681340831099736,60,18.4365,22
31,195012837,1,1681340785599776,1681340785599776,60,19.7088,26
32,195078803,6,1681340825099876,1681340825099876,60,30.1775,41
33,195112895,1,1681341386599632,1681341388599586,60,17.9218,26
34,195124053,1,1681340939099773,1681340944099670,60,16.6922,19
35,195192863,1,1681340870599770,1681340870599770,60,20.7069,34
36,195215543,1,1681340882599487,1681340884099688,60,18.1175,41
37,195216559,1,1681340954599678,1681341007099744,60,16.8192,0
38,195223303,1,1681340886099481,1681340891099795,60,17.9862,41
39,195224077,1,1681340947599733,1681340959099825,60,17.3759,31
40,195229818,1,1681340927099679,1681340937599507,60,17.7609,16
41,195230023,4,1681340888099634,1681340888099634,60,23.1443,43
42,195241230,1,1681340926599732,1681340951599612,60,17.2492,25
43,195250855,1,1681340899599087,1681340951599749,60,18.89,41
